open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1764547200000,90320.50,90396.90,89228.00,89771.40,5804.585,1764547499999,521109196.44040,81147,2043.971,183491141.21790,0
1764547500000,89771.30,89783.60,88900.00,89101.00,5855.894,1764547799999,522884723.25610,115396,2413.271,215546726.56160,0
1764547800000,89100.90,89268.80,88807.20,88887.70,3430.374,1764548099999,305321868.92480,77883,1522.208,135520297.24270,0
1764548100000,88887.80,89056.20,88591.00,88673.40,3501.078,1764548399999,310833307.63260,74174,1468.706,130426912.81810,0
1764548400000,88673.50,88818.50,88374.00,88503.70,3226.298,1764548699999,285571330.84590,80373,1525.963,135085328.13530,0
1764548700000,88503.80,88656.60,88312.50,88338.30,1749.847,1764548999999,154768919.23300,44261,786.716,69595096.83780,0
1764549000000,88338.30,88408.80,87750.00,87923.20,5258.603,1764549299999,463012138.40820,107303,1990.967,175280325.48940,0
1764549300000,87923.20,88062.00,87575.80,87829.70,3111.504,1764549599999,273278132.71370,84005,1664.132,146200621.90440,0
1764549600000,87829.70,88164.80,87655.00,87712.40,2577.860,1764549899999,226680444.14830,57481,1384.366,121753035.79420,0
1764549900000,87712.40,87747.90,87388.00,87405.30,2944.876,1764550199999,257719480.84470,62944,1217.681,106581555.37200,0
1764550200000,87405.30,87460.40,87114.70,87115.30,2761.172,1764550499999,240968461.52200,64702,1170.387,102156803.99960,0
1764550500000,87115.30,87285.10,86939.60,86970.70,3041.781,1764550799999,264818302.56620,67969,1572.314,136899658.90660,0
1764550800000,86970.60,87559.90,86900.00,87397.10,3949.391,1764551099999,344696948.49110,76978,2426.186,211795432.16070,0
1764551100000,87397.10,87669.30,87226.30,87352.80,1987.153,1764551399999,173735926.89130,48738,1047.466,91576500.77100,0
1764551400000,87352.40,87527.30,87149.40,87372.50,1183.492,1764551699999,103359552.19530,34569,646.704,56481885.70090,0
1764551700000,87372.50,87713.90,87355.00,87494.80,1531.596,1764551999999,134126602.63260,39280,823.887,72151691.00070,0
1764552000000,87494.80,87522.40,87300.00,87300.00,899.868,1764552299999,78665113.63690,26669,456.562,39915683.90410,0
