open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1746057600000,147.4700,147.7900,147.4700,147.7800,64084.77,1746057899999,9460572.858600,6940,26401.92,3898022.872100,0
1746057900000,147.7800,148.1500,147.7600,148.0800,64904.48,1746058199999,9603127.749800,8837,33069.77,4893578.283400,0
1746058200000,148.0900,148.3900,148.0000,148.1000,99527.99,1746058499999,14748700.259800,13349,50872.05,7539944.691500,0
1746058500000,148.1100,148.3200,147.8400,148.0100,54136.22,1746058799999,8015602.179900,7271,22228.36,3290809.073700,0
1746058800000,148.0200,148.2300,147.8800,148.1300,65386.31,1746059099999,9680243.638700,6933,32321.65,4785278.380500,0
1746059100000,148.1300,148.4000,147.9100,147.9500,77154.04,1746059399999,11429499.999500,7280,30228.14,4478332.374700,0
1746059400000,147.9400,147.9500,147.4700,147.6800,71803.76,1746059699999,10604056.254500,7765,33452.10,4940211.305300,0
1746059700000,147.6700,147.7900,147.5200,147.6500,22356.94,1746059999999,3301010.205600,4222,10062.29,1485809.005000,0
1746060000000,147.6400,147.8500,147.6400,147.7100,26506.21,1746060299999,3916225.743000,3790,10158.93,1500978.747500,0
1746060300000,147.7100,148.0600,147.7000,148.0200,29908.83,1746060599999,4424806.505600,4407,18732.13,2771474.524300,0
1746060600000,148.0200,148.1000,147.8300,147.8800,40905.63,1746060899999,6053015.138700,4947,18069.49,2674434.341600,0
1746060900000,147.8800,147.8900,147.6900,147.8800,24641.87,1746061199999,3641768.893500,3775,9660.69,1427782.715800,0
1746061200000,147.8900,148.3900,147.8800,148.3800,67614.49,1746061499999,10013621.234900,6383,46776.53,6927287.874200,0
1746061500000,148.3800,148.6000,148.2100,148.2700,95354.83,1746061799999,14152429.277740,9165,46242.88,6863487.396340,0
1746061800000,148.2800,148.4800,148.0500,148.1500,38179.07,1746062099999,5660126.227100,5406,14517.69,2152490.763700,0
1746062100000,148.1500,148.6500,148.1300,148.3700,52345.90,1746062399999,7770832.812900,6197,28881.70,4287881.776300,0
1746062400000,148.3700,148.8300,148.3600,148.4600,68690.87,1746062699999,10209182.936200,7223,40998.00,6094181.328600,0
1746062700000,148.4500,148.6400,148.3700,148.5200,32898.67,1746062999999,4886356.635800,4531,16973.77,2521025.779400,0
1746063000000,148.5200,148.9100,148.4900,148.8700,50749.69,1746063299999,7549722.870300,6193,32756.46,4873126.006300,0
1746063300000,148.8600,148.9700,148.6200,148.6200,64159.99,1746063599999,9547490.773900,7070,34353.62,5113060.170500,0
1746063600000,148.6300,148.8200,148.3800,148.7200,82699.11,1746063899999,12285086.259000,7971,39057.30,5802724.573600,0
1746063900000,148.7200,148.7300,148.4200,148.4700,38709.59,1746064199999,5751748.611000,5442,13937.55,2070975.181400,0
1746064200000,148.4800,148.8400,148.4700,148.8300,39769.63,1746064499999,5914721.086600,4989,20709.79,3079832.738700,0
1746064500000,148.8300,148.9300,148.6200,148.8600,42543.92,1746064799999,6331391.930700,5428,18357.24,2732164.039600,0
1746064800000,148.8600,148.9700,148.6900,148.8400,43918.99,1746065099999,6537251.873800,6048,14332.90,2133322.647300,0
1746065100000,148.8400,149.2800,148.7400,149.0100,89863.57,1746065399999,13395361.498010,13516,54522.63,8127720.826610,0
1746065400000,149.0200,149.2900,149.0000,149.0300,42529.75,1746065699999,6343895.846000,8432,21649.24,3229472.545400,0
1746065700000,149.0400,149.5200,149.0100,149.4300,56685.51,1746065999999,8462958.100600,7389,37234.87,5559973.422500,0
1746066000000,149.4200,149.4600,149.2200,149.2900,57434.62,1746066299999,8578375.171000,7053,27058.22,4041430.611000,0
1746066300000,149.2900,149.5000,149.2100,149.3700,54885.56,1746066599999,8198202.371100,5628,29502.35,4406622.063700,0
1746066600000,149.3700,149.4600,149.2000,149.2700,44413.75,1746066899999,6632255.856100,5694,21701.75,3241244.554300,0
1746066900000,149.2700,149.5800,149.2500,149.2900,61593.98,1746067199999,9204514.723100,6453,33594.51,5020696.909100,0
1746067200000,149.2900,149.3900,148.9600,149.0400,77573.26,1746067499999,11565908.313500,8207,30087.73,4486096.080700,0
1746067500000,149.0500,149.3500,149.0400,149.1300,71168.67,1746067799999,10614717.029600,5771,49407.55,7368370.300900,0
1746067800000,149.1400,149.3000,148.8100,148.8400,82656.02,1746068099999,12313024.953500,7520,26928.45,4011395.425700,0
1746068100000,148.8300,149.0700,148.4900,148.6200,108562.69,1746068399999,16150606.383900,9051,42564.22,6333587.247700,0
1746068400000,148.6300,148.9900,148.6200,148.9500,48376.88,1746068699999,7198138.257100,5941,24414.19,3632756.872300,0
1746068700000,148.9500,149.1700,148.9000,148.9800,37832.55,1746068999999,5638525.943300,5100,20010.38,2982423.177100,0
