open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1738368000000,231.6000,231.6000,230.7200,230.8800,56893,1738368299999,13145176.9200,6013,18627,4302992.2700,0
1738368300000,230.8800,231.9900,230.8100,231.9500,51050,1738368599999,11817629.3800,7266,35553,8232304.5500,0
1738368600000,231.9400,232.6400,231.6700,232.6200,59567,1738368899999,13831052.8140,7092,36164,8398143.4340,0
1738368900000,232.6100,233.0000,232.2100,232.2100,63547,1738369199999,14789616.4600,8273,37862,8813412.1100,0
1738369200000,232.2100,232.2200,231.6400,231.7400,22629,1738369499999,5249408.3300,4168,10090,2340929.0700,0
1738369500000,231.7300,231.7300,231.0700,231.1400,29747,1738369799999,6881551.5300,5023,9722,2248669.4300,0
1738369800000,231.1400,231.7600,230.8000,231.6400,33841,1738370099999,7826295.9300,5287,17548,4059465.7300,0
1738370100000,231.6500,231.9500,231.5000,231.9200,17429,1738370399999,4039359.5100,3448,8969,2078829.7900,0
1738370400000,231.9200,231.9200,231.2700,231.5300,23511,1738370699999,5444098.0900,3999,9296,2152513.6400,0
1738370700000,231.5200,232.0000,231.2700,232.0000,25164,1738370999999,5832020.4300,3938,11233,2602976.1300,0
1738371000000,232.0000,232.0200,231.4600,231.9000,20129,1738371299999,4663459.1800,3490,10658,2469296.2800,0
1738371300000,231.9000,232.4700,231.8500,232.4000,27334,1738371599999,6347714.9000,3886,19722,4579728.7500,0
1738371600000,232.3900,232.9700,232.2700,232.7100,30052,1738371899999,6993694.5200,4786,18642,4338272.1100,0
1738371900000,232.7000,233.4900,232.5800,233.2900,50521,1738372199999,11774863.7890,6529,26907,6270529.8490,0
1738372200000,233.2700,233.6300,233.0000,233.6000,38267,1738372499999,8927879.4000,6027,21690,5060713.2000,0
1738372500000,233.6000,233.6000,232.9000,233.0300,28000,1738372799999,6531325.1800,4264,11515,2686536.7700,0
1738372800000,233.0300,233.2700,232.7000,233.2000,32483,1738373099999,7566488.5200,4198,15246,3551884.0400,0
1738373100000,233.2000,233.8000,233.0600,233.4800,38148,1738373399999,8909362.7100,4817,21826,5097665.4500,0
1738373400000,233.4800,233.7100,233.0500,233.6400,16544,1738373699999,3860689.3500,2991,7845,1830892.9400,0
1738373700000,233.6400,233.9400,233.3300,233.5800,38739,1738373999999,9053238.0010,4855,18316,4280816.1310,0
1738374000000,233.5800,234.0200,233.3900,233.7200,49497,1738374299999,11567334.6000,6413,23827,5568831.2200,0
1738374300000,233.7200,233.7700,232.4400,232.8300,36387,1738374599999,8476926.4400,6114,13829,3221020.8800,0
1738374600000,232.8300,233.0600,232.7900,232.8800,9511,1738374899999,2215471.2100,1894,5258,1224814.5800,0
1738374900000,232.8700,232.8700,232.2500,232.2700,29465,1738375199999,6849311.7200,4386,9376,2179083.9200,0
1738375200000,232.2600,232.2800,231.6300,231.6800,93223,1738375499999,21618305.9860,7628,34963,8105602.6600,0
1738375500000,231.6700,232.2500,231.4300,231.9400,54144,1738375799999,12551364.1400,5703,28854,6692514.5300,0
1738375800000,231.9400,232.1200,231.4400,231.6400,45272,1738376099999,10486181.5500,4741,13813,3199642.0100,0
1738376100000,231.6100,233.4200,231.6000,232.9800,83057,1738376399999,19333952.6780,9474,59890,13940504.1280,0
1738376400000,232.9700,233.3300,232.7000,232.9200,33781,1738376699999,7870202.3300,3796,23694,5520206.1300,0
1738376700000,232.9200,232.9800,232.5800,232.6700,13703,1738376999999,3189242.8000,2611,6069,1412452.0300,0
1738377000000,232.6800,232.8100,232.0000,232.1800,31031,1738377299999,7207233.9700,4340,9646,2240075.6600,0
1738377300000,232.1800,232.3700,231.9400,231.9800,16173,1738377599999,3754150.3600,2807,9467,2197676.4100,0
